Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_06X,-5.7,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_06X,-5.5,4.851,2.835
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_06X,-5.4,3.122,2.043
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_06X,-5.3,6.476,2.672
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_06X,-5.1,3.533,2.285
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_06X,-5.1,7.634,5.705
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_06X,-5.1,3.833,2.323
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_06X,-5.1,2.814,2.01
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_06X,-5.0,6.303,3.145
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2C0,-6.4,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2C0,-6.3,3.015,2.33
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2C0,-6.1,1.815,1.476
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2C0,-5.6,5.016,3.87
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2C0,-5.3,2.944,2.052
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2C0,-5.0,10.732,9.614
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2C0,-5.0,10.376,9.087
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2C0,-5.0,11.389,10.516
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2C0,-5.0,9.469,8.419
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_4YH,-1.1,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_4YH,-0.9,20.364,20.364
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_4YH,-0.9,14.176,14.176
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_4YH,-0.9,10.428,10.428
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_4YH,-0.9,10.484,10.484
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_4YH,-0.8,10.561,10.561
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_4YH,-0.8,17.547,17.547
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_4YH,-0.8,14.41,14.41
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_4YH,-0.7,9.995,9.995
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_5RL,-7.2,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_5RL,-6.9,10.694,7.91
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_5RL,-6.9,4.044,2.482
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_5RL,-6.8,3.654,1.98
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_5RL,-6.5,6.077,3.053
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_5RL,-6.4,5.466,2.828
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_5RL,-6.2,5.323,2.827
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_5RL,-6.2,4.083,2.244
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_5RL,-6.1,3.874,1.54
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_6U9,-5.8,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_6U9,-5.8,1.607,0.13
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_6U9,-5.3,2.624,1.673
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_6U9,-4.9,3.359,3.037
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_6U9,-4.9,3.136,2.709
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_6U9,-4.8,3.181,2.945
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_6U9,-4.7,3.892,3.063
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_6U9,-4.7,3.908,3.078
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_6U9,-4.5,3.412,3.034
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_7V7,-7.3,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_7V7,-7.2,8.115,2.675
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_7V7,-7.1,8.919,3.06
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_7V7,-6.9,8.412,2.768
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_7V7,-6.8,3.024,1.945
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_7V7,-6.5,4.33,2.367
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_7V7,-6.4,5.959,3.579
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_7V7,-6.3,8.647,2.521
