Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C14_H22_N2_O3.txt,-6.0,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C14_H22_N2_O3.txt,-6.0,7.128,2.231
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C14_H22_N2_O3.txt,-5.7,6.968,2.915
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C14_H22_N2_O3.txt,-5.7,7.0,2.684
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C14_H22_N2_O3.txt,-5.5,6.74,2.576
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C14_H22_N2_O3.txt,-5.4,9.882,7.455
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C14_H22_N2_O3.txt,-5.4,9.016,7.493
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C14_H22_N2_O3.txt,-5.4,6.695,2.22
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C14_H22_N2_O3.txt,-5.4,7.316,2.727
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C16_H21_N_O2.txt,-5.8,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C16_H21_N_O2.txt,-5.4,5.844,1.882
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C16_H21_N_O2.txt,-5.2,3.273,1.783
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C16_H21_N_O2.txt,-5.2,8.117,5.316
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C16_H21_N_O2.txt,-5.1,5.289,1.673
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C16_H21_N_O2.txt,-5.1,2.503,1.311
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C16_H21_N_O2.txt,-5.0,5.514,1.663
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C16_H21_N_O2.txt,-4.9,4.668,3.112
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C16_H21_N_O2.txt,-4.7,1.971,1.54
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C17_H14_F3_N3_O2_S.txt,-8.0,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C17_H14_F3_N3_O2_S.txt,-7.7,6.011,4.061
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C17_H14_F3_N3_O2_S.txt,-7.7,12.485,10.063
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C17_H14_F3_N3_O2_S.txt,-7.6,12.014,9.677
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C17_H14_F3_N3_O2_S.txt,-7.5,10.216,7.706
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C17_H14_F3_N3_O2_S.txt,-7.5,6.121,4.113
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C17_H14_F3_N3_O2_S.txt,-7.2,10.406,7.81
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C17_H14_F3_N3_O2_S.txt,-7.0,2.587,1.699
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C17_H14_F3_N3_O2_S.txt,-6.9,6.203,4.938
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H17_CL2_N_O4.txt,-5.9,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H17_CL2_N_O4.txt,-5.7,4.681,2.609
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H17_CL2_N_O4.txt,-5.6,2.292,1.687
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H17_CL2_N_O4.txt,-5.5,5.303,3.391
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H17_CL2_N_O4.txt,-5.5,5.377,3.147
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H17_CL2_N_O4.txt,-5.5,5.322,3.158
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H17_CL2_N_O4.txt,-5.4,4.911,3.131
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H17_CL2_N_O4.txt,-5.3,5.376,2.583
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H17_CL2_N_O4.txt,-5.3,5.061,3.123
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H22_N2.txt,-6.2,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H22_N2.txt,-6.2,6.511,3.58
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H22_N2.txt,-6.0,3.055,2.16
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H22_N2.txt,-6.0,6.213,2.812
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H22_N2.txt,-5.9,5.459,2.704
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H22_N2.txt,-5.5,4.943,2.307
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H22_N2.txt,-5.5,6.259,3.469
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H22_N2.txt,-5.4,13.768,10.555
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H22_N2.txt,-5.4,6.611,3.176
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H26_CL_N3.txt,-5.5,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H26_CL_N3.txt,-5.3,2.055,1.086
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H26_CL_N3.txt,-5.2,4.068,2.645
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H26_CL_N3.txt,-5.2,7.801,2.96
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H26_CL_N3.txt,-5.2,6.002,2.807
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_Formula_C18_H26_CL_N3.txt,-5.2,7.436,3.138
