Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132496,-5.9,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132496,-5.8,5.697,2.062
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132496,-5.7,5.59,2.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132496,-5.5,8.606,5.85
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132496,-5.3,7.807,3.549
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132496,-5.3,6.914,2.823
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132496,-5.3,5.656,2.331
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132496,-5.3,2.688,1.887
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132496,-5.2,9.206,6.401
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.9,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.8,5.57,3.59
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.7,6.603,3.664
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.7,1.911,1.264
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.6,5.894,3.596
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.6,4.14,2.229
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.5,6.437,4.054
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.5,5.288,3.055
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.5,6.296,4.064
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_135398737,-7.2,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_135398737,-7.2,5.016,3.618
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_135398737,-6.8,6.694,3.424
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_135398737,-6.5,5.548,3.65
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_135398737,-6.5,5.379,2.89
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_135398737,-6.5,8.774,6.543
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_135398737,-6.4,6.252,3.282
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_135398737,-6.3,8.793,6.508
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_135398737,-6.2,6.287,3.556
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_1548943,-6.3,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_1548943,-6.0,8.431,6.005
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_1548943,-6.0,8.289,6.119
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_1548943,-6.0,5.008,2.716
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_1548943,-6.0,7.864,5.22
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_1548943,-5.9,8.664,6.182
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_1548943,-5.9,2.484,1.741
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_1548943,-5.9,10.098,6.385
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_1548943,-5.8,7.462,4.552
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_208902,-6.2,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_208902,-6.2,11.255,8.307
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_208902,-6.1,13.479,10.804
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_208902,-6.1,13.117,10.824
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_208902,-6.0,5.129,3.006
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_208902,-5.8,1.615,1.309
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_208902,-5.8,10.135,8.038
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_208902,-5.7,12.249,9.852
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_208902,-5.7,11.137,10.118
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_3000322,-6.1,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_3000322,-6.0,10.808,7.927
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_3000322,-6.0,10.372,7.469
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_3000322,-5.9,8.566,6.146
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_3000322,-5.8,9.5,8.116
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_3000322,-5.8,10.969,8.434
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_3000322,-5.7,10.03,7.279
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_3000322,-5.7,8.425,5.945
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_3000322,-5.6,2.005,0.893
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.5,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.5,5.126,2.078
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.5,4.993,1.976
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.4,4.999,1.989
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.2,4.897,1.768
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.1,6.218,2.73
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.0,9.812,5.999
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.0,5.555,2.406
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-4.9,4.985,2.666
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5311068,-5.9,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5311068,-5.7,5.31,3.403
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5311068,-5.6,11.428,9.749
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5311068,-5.6,5.576,3.745
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5311068,-5.5,4.833,2.612
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5311068,-5.3,4.446,2.614
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5311068,-5.3,10.763,9.623
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5311068,-5.2,3.686,2.862
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5311068,-5.2,1.723,1.368
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5360696,-6.3,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5360696,-6.3,5.025,2.785
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5360696,-6.3,4.828,2.376
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5360696,-6.1,5.073,2.612
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5360696,-6.0,5.291,2.632
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5360696,-5.9,10.029,6.344
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5360696,-5.9,2.085,1.451
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5360696,-5.9,4.639,2.557
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5360696,-5.6,7.445,4.881
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5361092,-7.1,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5361092,-7.0,4.329,2.953
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5361092,-7.0,2.649,1.842
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5361092,-6.9,5.739,2.373
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5361092,-6.7,4.487,2.354
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5361092,-6.6,5.166,2.945
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5361092,-6.4,5.007,2.63
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5361092,-6.2,4.408,2.604
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5361092,-6.2,5.334,2.354
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5388962,-7.0,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5388962,-6.2,8.754,5.421
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5388962,-6.1,9.34,6.172
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5388962,-6.0,8.462,5.439
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5388962,-6.0,8.318,5.15
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5388962,-5.9,8.846,5.653
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5388962,-5.8,7.772,5.5
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5388962,-5.8,8.893,5.736
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5388962,-5.8,8.677,6.393
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5702063,-5.8,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5702063,-5.8,2.435,0.061
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5702063,-5.4,2.977,2.403
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5702063,-5.3,9.713,8.425
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5702063,-5.3,9.635,8.425
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5702063,-5.2,4.506,3.308
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5702063,-5.2,3.936,3.302
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5702063,-5.2,11.024,10.377
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5702063,-5.1,11.209,10.39
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-8.1,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-7.3,6.78,2.283
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-7.3,10.956,6.873
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-7.0,10.571,8.688
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-7.0,6.565,2.247
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-6.9,10.394,6.245
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-6.8,10.409,6.91
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-6.8,10.867,7.043
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-6.6,7.949,4.863
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_667477,-6.8,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_667477,-6.7,5.601,2.47
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_667477,-6.5,4.737,2.469
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_667477,-6.3,2.127,1.63
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_667477,-6.2,4.671,2.565
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_667477,-6.1,6.263,2.943
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_667477,-6.1,7.233,4.493
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_667477,-6.0,5.186,3.415
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_667477,-6.0,5.826,2.989
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6914273,-7.1,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6914273,-6.8,4.958,3.799
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6914273,-6.7,9.101,4.001
