Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_08Y,-9.1,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_08Y,-8.6,5.076,2.979
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_08Y,-8.3,4.551,1.931
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_08Y,-8.1,4.329,2.063
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_08Y,-8.1,4.389,2.337
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_08Y,-8.1,2.656,1.996
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_08Y,-8.0,4.68,2.831
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_08Y,-8.0,10.166,4.114
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_08Y,-7.9,10.431,4.073
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_20J,-5.5,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_20J,-5.5,3.102,2.528
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_20J,-5.3,2.867,2.447
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_20J,-5.0,3.957,3.529
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_20J,-5.0,3.222,2.684
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_20J,-5.0,4.742,3.739
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_20J,-4.9,4.214,3.258
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_20J,-4.9,4.149,3.527
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_20J,-4.9,6.409,5.344
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_29E,-6.0,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_29E,-6.0,6.016,2.967
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_29E,-6.0,2.389,0.645
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_29E,-5.9,10.923,9.404
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_29E,-5.9,10.95,9.509
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_29E,-5.8,4.158,2.135
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_29E,-5.7,3.974,1.689
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_29E,-5.7,10.756,9.084
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_29E,-5.7,3.83,2.455
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_377,-6.6,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_377,-5.7,2.715,1.616
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_377,-5.6,3.16,1.022
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_377,-5.6,10.991,10.003
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_377,-5.5,11.644,10.337
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_377,-5.2,11.508,10.331
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_377,-5.1,10.883,9.622
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_377,-5.1,11.108,9.738
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_377,-5.0,10.985,9.804
