Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2200,-6.3,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2200,-6.3,11.158,7.649
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2200,-6.3,9.894,6.606
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2200,-6.1,10.107,7.081
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2200,-6.1,11.48,8.726
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2200,-6.0,4.358,1.197
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2200,-6.0,11.146,7.961
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2200,-6.0,10.251,7.499
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2200,-5.9,10.05,6.363
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2381,-7.1,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2381,-6.9,2.017,1.361
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2381,-6.6,5.346,2.248
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2381,-6.3,6.23,1.902
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2381,-6.3,2.112,1.408
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2381,-6.3,6.032,1.907
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2381,-6.3,2.302,1.535
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2381,-6.1,4.382,2.784
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2381,-6.1,4.698,1.439
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2471,-6.0,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2471,-5.8,12.25,9.281
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2471,-5.7,4.774,2.806
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2471,-5.7,5.113,2.274
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2471,-5.6,4.858,2.231
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2471,-5.5,4.928,3.197
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2471,-5.4,4.797,2.346
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2471,-5.4,5.714,3.086
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2471,-5.2,5.314,3.442
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2474,-6.3,0.0,0.0
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2474,-5.9,4.523,2.367
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2474,-5.9,4.797,1.593
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2474,-5.9,4.775,2.389
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2474,-5.8,6.373,1.97
Model_CYFIP2_WT_DOPE___-160988.06250_minimized_2474,-5.8,6.222,1.96
